"CASnummer","Id","Codes","Omschrijving","Groep","Begin.geldigheid","Eind.geldigheid","Status","Gerelateerd","Guid","Exactmatch"
"108-62-3",4110,"mAh","metaldehyde","ChemischeStof","2019-11-29","2100-01-01","Geldig","","Id-47fd2b07-c60d-4487-9132-429c32321f0d","http://vocab.nerc.ac.uk/collection/S27/current/CS004328/"
"108-67-8",45,"135TC1yBen","1,3,5-trimethylbenzeen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-86fc7c74-5e6b-4023-8ebb-697ec1c0fc9c","http://vocab.nerc.ac.uk/collection/S27/current/CS003331/"
"108-68-9",188,"35DC1yFol","3,5-dimethylfenol","ChemischeStof","2014-05-10","2100-01-01","Geldig","","Id-36e0460c-45d1-4c63-bab0-c2e8d35c0f6b","http://vocab.nerc.ac.uk/collection/S27/current/CS003867/"
"108-68-9",188,"35DC1yFol","3,5-dimethylfenol","ChemischeStof","2011-06-08","2014-05-09","Vervallen","","Id-df4f412f-54f3-45c3-9621-8b63c8f89397","http://vocab.nerc.ac.uk/collection/S27/current/CS003867/"
"108-70-3",44,"135TClBen","1,3,5-trichloorbenzeen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-da881589-f43a-4aee-a9a2-092ff2bb3ec7","http://vocab.nerc.ac.uk/collection/S27/current/CS000970/"
"108-86-1",1777,"BrBen","broombenzeen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-4cd04ae2-b18a-494d-b07c-b7ba125863a9","http://vocab.nerc.ac.uk/collection/S27/current/CS003343/"
"108-88-3",1568,"Tol","tolueen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-6b4f54e0-7908-46fe-9683-80ab33f4af59","http://vocab.nerc.ac.uk/collection/S27/current/CS003183/"
"108-90-7",1246,"ClBen","chloorbenzeen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-d4ad8d51-60a6-42fd-a06c-1f4635669e4f","http://vocab.nerc.ac.uk/collection/S27/current/CS003286/"
"108-95-2",751,"Fol","fenol","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-80b953c3-675d-4864-bf74-4427707e1624","http://vocab.nerc.ac.uk/collection/S27/current/CS003167/"
"1085-98-9",605,"Dcfande","dichlofluanide","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-cdf03daf-ef35-419b-a4e3-311003fdf546","http://vocab.nerc.ac.uk/collection/S27/current/CS003882/"
"1088-11-5",5551,"desC1yDazpm","desmethyldiazepam","ChemischeStof","2016-01-16","2100-01-01","Geldig","","Id-b2bf730b-f70e-4a75-8517-48751f9fab6b","http://vocab.nerc.ac.uk/collection/S27/current/CS004042/"
"109-66-0",1384,"nC5a","N-pentaan","ChemischeStof","2011-06-08","2011-08-27","Vervallen","","Id-fe92f795-1b8a-49fc-9df7-2caeed280295","http://vocab.nerc.ac.uk/collection/S27/current/CS003160/"
"109-66-0",1384,"C5a","pentaan","ChemischeStof","2011-08-27","2011-08-27","Vervallen","","Id-42390665-faaa-42a3-8e73-fca1949d0825","http://vocab.nerc.ac.uk/collection/S27/current/CS003160/"
"109-66-0",1384,"C5a","pentaan","ChemischeStof","2011-08-28","2100-01-01","Geldig","","Id-115f1674-ac86-4a3f-8428-6ae3130e144d","http://vocab.nerc.ac.uk/collection/S27/current/CS003160/"
"109-89-7",636,"DC2yAe","diethylamine","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-d00bd8f2-e4b2-40de-a49e-7385922bb395","http://vocab.nerc.ac.uk/collection/S27/current/CS004287/"
"110-54-3",860,"C6a","hexaan","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-c3b22975-7e34-4f02-923e-e4105dc0b580","http://vocab.nerc.ac.uk/collection/S27/current/CS003309/"
"110-91-8",1925,"morflne","morfoline","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-b81fa8d7-b015-4972-bae6-1762daab9442","http://vocab.nerc.ac.uk/collection/S27/current/CS004279/"
"110488-70-5",3654,"Dmtmf","dimethomorf","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-18ba3299-ebf8-49c0-8021-402f1c48525f","http://vocab.nerc.ac.uk/collection/S27/current/CS004087/"
"11097-69-1",6932,"ARCR1254","aroclor1254","ChemischeStof","2022-03-05","2100-01-01","Geldig","","Id-0e50509d-362c-4c51-be6e-ffd37d096797","http://vocab.nerc.ac.uk/collection/S27/current/CS002279/"
"1113-02-6",1297,"omtat","omethoaat","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-5ca9a0b5-7b3a-4221-9981-fd553e1f6df3","http://vocab.nerc.ac.uk/collection/S27/current/CS003806/"
"111479-05-1",4503,"propqzfp","propaquizafop","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-568a05cd-d07c-4ccd-80fe-5e3e78081d1f","http://vocab.nerc.ac.uk/collection/S27/current/CS003836/"
"111755-37-4",4130,"MC-RR","microcystine-RR","ChemischeStof","2011-08-27","2100-01-01","Geldig","","Id-cc8e4c2d-319e-4930-8191-6f500de25995","http://vocab.nerc.ac.uk/collection/S27/current/CS004223/"
"111988-49-9",4863,"thiacpd","thiacloprid","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-9f92b64c-2983-4a08-8f91-9c7e966458e0","http://vocab.nerc.ac.uk/collection/S27/current/CS003859/"
"111991-09-4",4254,"nicsfrn","nicosulfuron","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-d2a23f2b-919e-4eb6-b7ae-23b8b346dbdf","http://vocab.nerc.ac.uk/collection/S27/current/CS004115/"
"112-37-8",1635,"C11azr","undecaanzuur","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-b4f8c8ce-7def-4c22-bad8-09e7f6ddde5a","http://vocab.nerc.ac.uk/collection/S27/current/CS001271/"
"112-40-3",686,"C12a","dodecaan","ChemischeStof","2013-07-06","2100-01-01","Geldig","","Id-a01ed9cf-c01b-4122-97fb-642aecb8addc","http://vocab.nerc.ac.uk/collection/S27/current/CS003288/"
"112-53-8",6599,"1C12ol","1-dodecanol","ChemischeStof","2021-03-19","2100-01-01","Geldig","","Id-4b767490-cb0c-44b6-b859-478e0a37cb6b","http://vocab.nerc.ac.uk/collection/S27/current/CS000487/"
"112-72-1",6296,"1C14ol","1-tetradecanol","ChemischeStof","2020-04-01","2100-01-01","Geldig","","Id-0c702469-0b0b-40e0-8a7b-a43885c89b7a","http://vocab.nerc.ac.uk/collection/S27/current/CS000872/"
"112-79-8",6086,"t9C18ezr","trans-9-octadeceenzuur","ChemischeStof","2020-02-04","2100-01-01","Geldig","","Id-33d2f94b-080e-4a54-85ec-1295c67be8b7","http://vocab.nerc.ac.uk/collection/S27/current/CS000900/"
"112-80-1",1296,"olinzr","oleinezuur","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-3f1b7683-7822-4e27-9a54-31225c24a15e","http://vocab.nerc.ac.uk/collection/S27/current/CS002433/"
"112-85-6",685,"C22azr","docosaanzuur","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-4ae0e74a-1bd5-451a-a485-a19f6c22085e","http://vocab.nerc.ac.uk/collection/S27/current/CS002475/"
"112-86-7",6095,"erczr","erucazuur","ChemischeStof","2020-02-04","2100-01-01","Geldig","","Id-26c59482-2a39-44f7-9e46-053ba2109432","http://vocab.nerc.ac.uk/collection/S27/current/CS000340/"
"112-95-8",6600,"C20a","eicosaan","ChemischeStof","2021-03-19","2100-01-01","Geldig","","Id-8f112101-b53f-4bb5-94c3-5c71fef54ec5","http://vocab.nerc.ac.uk/collection/S27/current/CS000536/"
"112281-77-3",4762,"T4cnzl","tetraconazool","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-a5bc7edb-51f7-480f-99c2-f22c68c11c78","http://vocab.nerc.ac.uk/collection/S27/current/CS004284/"
"112410-23-8",4820,"tebfnzde","tebufenozide","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-21ea8b10-2c36-4544-89fd-ccb1c0ff4149","http://vocab.nerc.ac.uk/collection/S27/current/CS004117/"
"1127-76-0",6142,"1C2yNaf","1-ethylnaftaleen","ChemischeStof","2020-03-13","2100-01-01","Geldig","","Id-98073bb2-2c5d-4131-8900-881dc3d277da","http://vocab.nerc.ac.uk/collection/S27/current/CS001964/"
"114-07-8",2480,"ertmcne","erytromycine","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-32d0b825-68b2-4d92-99c3-ebc6d6b1c923","http://vocab.nerc.ac.uk/collection/S27/current/CS004385/"
"114-26-1",1432,"propxr","propoxur","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-4d528372-0874-4a15-b9f9-02f3a7fa228e","http://vocab.nerc.ac.uk/collection/S27/current/CS001432/"
"114798-26-4",4096,"lostan","losartan","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-32145f0f-2efe-4883-a6ec-bb8ed6f11b3e","http://vocab.nerc.ac.uk/collection/S27/current/CS004306/"
"115-07-1",2855,"1C3e","1-propeen","ChemischeStof","2011-06-08","2014-01-27","Vervallen","","Id-0eb50536-a08a-450c-be1a-42a826935ad2","http://vocab.nerc.ac.uk/collection/S27/current/CS003162/"
"115-07-1",2855,"1C3e","1-propeen","ChemischeStof","2014-01-28","2100-01-01","Geldig","","Id-f9c62230-c6b9-4163-bff2-920e879428ab","http://vocab.nerc.ac.uk/collection/S27/current/CS003162/"
"115-29-7",2161,"endsfn","endosulfan (som alfa- en beta-isomeer)","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-4188bfc7-1470-4c0e-b1dc-2e50e21eff09","http://vocab.nerc.ac.uk/collection/S27/current/CS003318/"
"115-32-2",629,"Dcfl","dicofol","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-851c3077-0293-4f40-a261-2fa5c504fca9","http://vocab.nerc.ac.uk/collection/S27/current/CS004374/"
"115-32-2",629,"Dcfl","dicofol","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-851c3077-0293-4f40-a261-2fa5c504fca9","http://vocab.nerc.ac.uk/collection/S27/current/CS003784/"
"115-32-2",629,"Dcfl","dicofol","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-851c3077-0293-4f40-a261-2fa5c504fca9","http://vocab.nerc.ac.uk/collection/S27/current/CS004375/"
"115-86-6",4848,"TFyPO4","trifenylfosfaat","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-cc2e9256-afe8-43c7-9c7a-fea74e8a788a","http://vocab.nerc.ac.uk/collection/S27/current/CS004386/"
"115-96-8",1599,"T2ClC2yPO4","tri(2-chloorethyl)fosfaat","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-130414f2-8dea-4e10-911a-5f0729ebd1a0","http://vocab.nerc.ac.uk/collection/S27/current/CS004387/"
"116255-48-2",3284,"bromcnzl","bromuconazool","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-07a08671-e9d2-4dbb-8cb5-cb7bf26b560d","http://vocab.nerc.ac.uk/collection/S27/current/CS004111/"
"1163-19-5",2530,"PBDE209","2,2',3,3',4,4',5,5',6,6'-decabroomdiphenylether","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-0a4b6a3a-43de-4748-93e0-a1a2b8451997","http://vocab.nerc.ac.uk/collection/S27/current/CS000382/"
"117-81-7",382,"DEHP","bis(2-ethylhexyl)ftalaat (DEHP)","ChemischeStof","2011-06-09","2100-01-01","Geldig","","Id-c18efe75-02fb-40b9-a4c9-190384c2a157","http://vocab.nerc.ac.uk/collection/S27/current/CS001194/"
"117-81-7",382,"DEHP","bis(2-ethylhexyl)ftalaat (DEHP)","ChemischeStof","2011-06-08","2011-06-08","Vervallen","","Id-2057e09e-9189-4d1a-9e43-6d4b27087d5e","http://vocab.nerc.ac.uk/collection/S27/current/CS001194/"
"117-84-0",674,"DC8yFt","dioctylftalaat","ChemischeStof","2011-06-09","2100-01-01","Geldig","","Id-91df2710-86c4-4689-b526-e7a2c1e16522","http://vocab.nerc.ac.uk/collection/S27/current/CS003831/"
